name,path,xsec
sm,/x5/cms/jwkim/MG5_aMC_v2_7_3/SM_WZG/Events/Evt_10000/unweighted_events.root,0.017002
aQGC_all0,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Allzeros/unweighted_events.root,0.016099
FT0_1.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_01/unweighted_events.root,0.016596
FT0_2.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_02/unweighted_events.root,0.016602
FT0_-2.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_03/unweighted_events.root,0.016554
FT0_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_04/unweighted_events.root,0.017042
FT1_1.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_05/unweighted_events.root,0.016515
FT1_2.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_06/unweighted_events.root,0.016611
FT1_3.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_07/unweighted_events.root,0.016641
FT1_4.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_08/unweighted_events.root,0.016716
FT2_1.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_09/unweighted_events.root,0.016496
FT2_3.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_10/unweighted_events.root,0.016632
FT2_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_11/unweighted_events.root,0.016652
FT2_7.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_12/unweighted_events.root,0.016701
FT5_1.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_13/unweighted_events.root,0.016568
FT5_3.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_14/unweighted_events.root,0.016821
FT5_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_15/unweighted_events.root,0.017376
FT5_7.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_16/unweighted_events.root,0.018197
FT6_1.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_17/unweighted_events.root,0.016617
FT6_3.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_18/unweighted_events.root,0.016710
FT6_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_19/unweighted_events.root,0.017035
FT7_1.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_20/unweighted_events.root,0.016541
FT7_3.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_21/unweighted_events.root,0.016505
FT7_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_22/unweighted_events.root,0.016581
FT7_7.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FT/Events/Evt_10000/run_23/unweighted_events.root,0.016730
FM0_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_01/unweighted_events.root,0.01656
FM0_2.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_02/unweighted_events.root,0.01653
FM0_4.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_03/unweighted_events.root,0.01654
FM0_6.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_04/unweighted_events.root,0.01651
FM0_2.00E-10,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_05/unweighted_events.root,0.01650
FM1_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_06/unweighted_events.root,0.01649
FM1_3.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_07/unweighted_events.root,0.01656
FM1_5.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_08/unweighted_events.root,0.01660
FM1_7.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_09/unweighted_events.root,0.01652
FM2_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_10/unweighted_events.root,0.01648
FM2_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_11/unweighted_events.root,0.01641
FM2_2.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_12/unweighted_events.root,0.01646
FM2_4.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_13/unweighted_events.root,0.01657
FM3_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_14/unweighted_events.root,0.01652
FM3_2.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_15/unweighted_events.root,0.01643
FM3_4.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_16/unweighted_events.root,0.01652
FM3_6.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_17/unweighted_events.root,0.01653
FM4_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_18/unweighted_events.root,0.01654
FM4_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_19/unweighted_events.root,0.01658
FM4_1.50E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_20/unweighted_events.root,0.01655
FM4_2.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_21/unweighted_events.root,0.01658
FM5_3.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_22/unweighted_events.root,0.01658
FM5_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_23/unweighted_events.root,0.01651
FM5_7.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_24/unweighted_events.root,0.01649
FM5_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_25/unweighted_events.root,0.01658
FM7_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_26/unweighted_events.root,0.01662
FM7_3.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_27/unweighted_events.root,0.01653
FM7_5.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_28/unweighted_events.root,0.01657
FM7_7.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_29/unweighted_events.root,0.01656
